build	model	fa	pp_tps	tg_tps	command
bianbu-system	gemma-4-E4B-q4_0-google	1	61.55	7.05	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/google-gemma-4-E4B-it-qat-q4_0-gguf/gemma-4-E4B_q4_0-it.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
bianbu-system	gemma-4-E4B-qat-UD-Q4_K_XL	0	62.59	7.55	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
bianbu-system	gemma-4-E4B-qat-UD-Q4_K_XL	1	63.19	7.79	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
bianbu-system	gemma-4-12b-Q4_K_M	0	20.03	2.97	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
bianbu-system	gemma-4-12b-Q4_K_M	1	20.98	3.06	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
bianbu-system	gemma-4-12B-qat-UD-Q4_K_XL	0	26.24	3.41	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/gemma-4-12B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
bianbu-system	gemma-4-12B-qat-UD-Q4_K_XL	1	28.00	3.54	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/gemma-4-12B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
spacemit-0.1.3	Qwen3.5-0.8B-Q4_K_M	0	173.78	27.96	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
spacemit-0.1.3	Qwen3.5-0.8B-Q4_K_M	1	172.71	28.24	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
spacemit-0.1.3	Qwen3.5-2B-Q4_1	0	119.60	16.00	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-2B-GGUF/Qwen3.5-2B-Q4_1.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
spacemit-0.1.3	Qwen3.5-2B-Q4_1	1	119.05	16.12	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-2B-GGUF/Qwen3.5-2B-Q4_1.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
spacemit-0.1.3	Qwen3.5-4B-Q4_K_M	0	39.71	7.04	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-4B-GGUF/Qwen3.5-4B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
spacemit-0.1.3	Qwen3.5-4B-Q4_K_M	1	39.95	7.08	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-4B-GGUF/Qwen3.5-4B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
spacemit-0.1.3	Qwen3.5-4B-UD-Q4_K_XL	0	10.17	4.60	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-4B-GGUF/Qwen3.5-4B-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
spacemit-0.1.3	Qwen3.5-4B-UD-Q4_K_XL	1	10.28	4.62	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-4B-GGUF/Qwen3.5-4B-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
spacemit-0.1.3	Qwen3.5-9B-Q4_K_M	0	25.13	4.20	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-9B-GGUF/Qwen3.5-9B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
spacemit-0.1.3	Qwen3.5-9B-Q4_K_M	1	26.22	4.23	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-9B-GGUF/Qwen3.5-9B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
spacemit-0.1.3	gemma-4-E2B-q4_0-google	0	128.94	11.61	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/google-gemma-4-E2B-it-qat-q4_0-gguf/gemma-4-E2B_q4_0-it.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
spacemit-0.1.3	gemma-4-E2B-q4_0-google	1	129.74	12.09	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/google-gemma-4-E2B-it-qat-q4_0-gguf/gemma-4-E2B_q4_0-it.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
spacemit-0.1.3	gemma-4-E2B-qat-UD-Q4_K_XL	0	134.79	12.70	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
spacemit-0.1.3	gemma-4-E2B-qat-UD-Q4_K_XL	1	135.71	13.30	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
spacemit-0.1.3	gemma-4-E4B-q4_0-google	0	60.81	6.80	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/google-gemma-4-E4B-it-qat-q4_0-gguf/gemma-4-E4B_q4_0-it.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
spacemit-0.1.3	gemma-4-E4B-q4_0-google	1	61.47	7.04	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/google-gemma-4-E4B-it-qat-q4_0-gguf/gemma-4-E4B_q4_0-it.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
spacemit-0.1.3	gemma-4-E4B-qat-UD-Q4_K_XL	0	62.69	7.55	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
spacemit-0.1.3	gemma-4-E4B-qat-UD-Q4_K_XL	1	63.56	7.80	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
spacemit-0.1.3	gemma-4-12b-Q4_K_M	0	20.00	2.98	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
spacemit-0.1.3	gemma-4-12b-Q4_K_M	1	21.02	3.07	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
spacemit-0.1.3	gemma-4-12B-qat-UD-Q4_K_XL	0	26.21	3.43	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/gemma-4-12B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
spacemit-0.1.3	gemma-4-12B-qat-UD-Q4_K_XL	1	27.93	3.54	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/gemma-4-12B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
platima-llama-smt	Qwen3.5-0.8B-Q4_K_M	0	169.17	27.79	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
platima-llama-smt	Qwen3.5-0.8B-Q4_K_M	1	173.14	28.09	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
platima-llama-smt	Qwen3.5-2B-Q4_1	0	119.19	15.92	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-2B-GGUF/Qwen3.5-2B-Q4_1.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
platima-llama-smt	Qwen3.5-2B-Q4_1	1	120.02	16.06	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-2B-GGUF/Qwen3.5-2B-Q4_1.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
platima-llama-smt	Qwen3.5-4B-Q4_K_M	0	39.94	7.05	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-4B-GGUF/Qwen3.5-4B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
platima-llama-smt	Qwen3.5-4B-Q4_K_M	1	40.51	7.10	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-4B-GGUF/Qwen3.5-4B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
platima-llama-smt	Qwen3.5-4B-UD-Q4_K_XL	0	11.33	4.81	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-4B-GGUF/Qwen3.5-4B-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
platima-llama-smt	Qwen3.5-4B-UD-Q4_K_XL	1	11.31	4.86	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-4B-GGUF/Qwen3.5-4B-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
platima-llama-smt	Qwen3.5-9B-Q4_K_M	0	25.34	4.21	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-9B-GGUF/Qwen3.5-9B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
platima-llama-smt	Qwen3.5-9B-Q4_K_M	1	25.93	4.23	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-9B-GGUF/Qwen3.5-9B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
platima-llama-smt	gemma-4-E2B-q4_0-google	0	127.19	11.54	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/google-gemma-4-E2B-it-qat-q4_0-gguf/gemma-4-E2B_q4_0-it.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
platima-llama-smt	gemma-4-E2B-q4_0-google	1	127.21	12.05	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/google-gemma-4-E2B-it-qat-q4_0-gguf/gemma-4-E2B_q4_0-it.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
platima-llama-smt	gemma-4-E2B-qat-UD-Q4_K_XL	0	132.31	12.69	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
platima-llama-smt	gemma-4-E2B-qat-UD-Q4_K_XL	1	131.53	13.29	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
platima-llama-smt	gemma-4-E4B-q4_0-google	0	59.79	6.82	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/google-gemma-4-E4B-it-qat-q4_0-gguf/gemma-4-E4B_q4_0-it.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
platima-llama-smt	gemma-4-E4B-q4_0-google	1	60.22	7.03	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/google-gemma-4-E4B-it-qat-q4_0-gguf/gemma-4-E4B_q4_0-it.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
platima-llama-smt	gemma-4-E4B-qat-UD-Q4_K_XL	0	61.82	7.55	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
platima-llama-smt	gemma-4-E4B-qat-UD-Q4_K_XL	1	62.15	7.81	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
platima-llama-smt	gemma-4-12b-Q4_K_M	0	19.70	2.97	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
platima-llama-smt	gemma-4-12b-Q4_K_M	1	20.56	3.08	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
platima-llama-smt	gemma-4-12B-qat-UD-Q4_K_XL	0	25.82	3.42	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/gemma-4-12B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
platima-llama-smt	gemma-4-12B-qat-UD-Q4_K_XL	1	27.39	3.55	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/gemma-4-12B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
