build	model	fa	mtp_mean_tps	mtp_min	mtp_max	accept_pct	command
spacemit-0.1.3	Qwen3.5-2B-Q4_1-MTP	1	7.00	7.00	7.00	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-2B-MTP-GGUF/Qwen3.5-2B-Q4_1.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
spacemit-0.1.3	Qwen3.5-4B-Q4_K_M-MTP	0	4.40	4.40	4.40	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-4B-MTP-GGUF/Qwen3.5-4B-Q4_K_M.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
spacemit-0.1.3	Qwen3.5-4B-Q4_K_M-MTP	1	4.70	4.70	4.70	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-4B-MTP-GGUF/Qwen3.5-4B-Q4_K_M.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
spacemit-0.1.3	Qwen3.5-9B-Q4_K_M-MTP	0	3.30	3.30	3.30	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-9B-MTP-GGUF/Qwen3.5-9B-Q4_K_M.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
spacemit-0.1.3	Qwen3.5-9B-Q4_K_M-MTP	1	FAIL	-	-	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-9B-MTP-GGUF/Qwen3.5-9B-Q4_K_M.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
spacemit-0.1.3	gemma-4-E2B-qat-MTP	0	FAIL	-	-	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/mtp-gemma-4-E2B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
spacemit-0.1.3	gemma-4-E2B-qat-MTP	1	FAIL	-	-	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/mtp-gemma-4-E2B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
spacemit-0.1.3	gemma-4-E4B-qat-MTP	0	FAIL	-	-	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/mtp-gemma-4-E4B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
spacemit-0.1.3	gemma-4-E4B-qat-MTP	1	FAIL	-	-	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/mtp-gemma-4-E4B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
spacemit-0.1.3	gemma-4-12b-MTP	0	FAIL	-	-	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf --model-draft /home/owner/models/unsloth-gemma-4-12b-it-GGUF/mtp-gemma-4-12b-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
spacemit-0.1.3	gemma-4-12b-MTP	1	FAIL	-	-	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf --model-draft /home/owner/models/unsloth-gemma-4-12b-it-GGUF/mtp-gemma-4-12b-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
spacemit-0.1.3	gemma-4-12B-qat-MTP	0	FAIL	-	-	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/gemma-4-12B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/mtp-gemma-4-12B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
spacemit-0.1.3	gemma-4-12B-qat-MTP	1	FAIL	-	-	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/gemma-4-12B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/mtp-gemma-4-12B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	Qwen3.5-2B-Q4_1-MTP	0	10.58	10.50	10.60	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-2B-MTP-GGUF/Qwen3.5-2B-Q4_1.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	Qwen3.5-2B-Q4_1-MTP	1	12.18	12.10	12.20	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-2B-MTP-GGUF/Qwen3.5-2B-Q4_1.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	Qwen3.5-4B-Q4_K_M-MTP	0	7.50	7.50	7.50	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-4B-MTP-GGUF/Qwen3.5-4B-Q4_K_M.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	Qwen3.5-4B-Q4_K_M-MTP	1	8.40	8.40	8.40	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-4B-MTP-GGUF/Qwen3.5-4B-Q4_K_M.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	Qwen3.5-9B-Q4_K_M-MTP	0	4.10	4.10	4.10	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-9B-MTP-GGUF/Qwen3.5-9B-Q4_K_M.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	Qwen3.5-9B-Q4_K_M-MTP	1	FAIL	-	-	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-9B-MTP-GGUF/Qwen3.5-9B-Q4_K_M.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	gemma-4-E2B-qat-MTP	0	11.06	11.00	11.10	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/mtp-gemma-4-E2B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	gemma-4-E2B-qat-MTP	1	13.90	13.90	13.90	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/mtp-gemma-4-E2B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	gemma-4-E4B-qat-MTP	0	10.08	10.00	10.10	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/mtp-gemma-4-E4B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	gemma-4-E4B-qat-MTP	1	12.00	12.00	12.00	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/mtp-gemma-4-E4B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	gemma-4-12b-MTP	0	FAIL	-	-	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf --model-draft /home/owner/models/unsloth-gemma-4-12b-it-GGUF/mtp-gemma-4-12b-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	gemma-4-12b-MTP	1	4.00	4.00	4.00	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf --model-draft /home/owner/models/unsloth-gemma-4-12b-it-GGUF/mtp-gemma-4-12b-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	gemma-4-12B-qat-MTP	0	FAIL	-	-	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/gemma-4-12B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/mtp-gemma-4-12B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
platima-llama-smt	gemma-4-12B-qat-MTP	1	6.00	6.00	6.00	-	LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/gemma-4-12B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/mtp-gemma-4-12B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
